'id_car_equipment','id_car_trim','name','year','date_create','date_update','id_car_type'
'471','10553','Access','2013','1463948293','1534979151','1'
'472','175262','Access','2015','1463948412','1534979211','1'
'473','175262','Access','2016','1463948412','1534979210','1'
'474','175262','Style','2015','1463948412','1534979210','1'
'475','175262','Style','2016','1463948412','1534979209','1'
'476','175262','Style','2014','1463948413','1534979212','1'
'477','175262','Allure','2014','1463948413','1534979213','1'
'478','175262','Active','2014','1463948413','1534979214','1'
'479','175262','Access','2014','1463948413','1534979215','1'
'480','10697','Access',NULL,'1463948414','1534979208','1'
'481','10697','Active','2013','1463948414','1534979205','1'
'482','10697','Access','2013','1463948415','1534979206','1'
'483','10697','Active',NULL,'1463948415','1534979207','1'
'484','10695','Style','2015','1463948415','1534979188','1'
'485','10695','Style','2016','1463948415','1534979192','1'
'486','10695','Active','2013','1463948416','1534979189','1'
'487','10695','Sportium','2013','1463948416','1534979187','1'
'488','10695','Active','2012','1463948416','1534979191','1'
'489','10695','Active','2014','1463948416','1534979190','1'
'490','10695','Style','2014','1463948416','1534979188','1'
'491','10696','Style','2015','1463948416','1534979179','1'
'492','10696','Style','2016','1463948416','1534979185','1'
'493','10696','Allure','2016','1463948416','1534979184','1'
'494','10696','Style','2014','1463948416','1534979177','1'
'495','10696','Sportium','2013','1463948416','1534979186','1'
'496','10696','Allure','2013','1463948416','1534979178','1'
'497','10696','Active','2013','1463948416','1534979179','1'
'498','10696','Active','2012','1463948417','1534979183','1'
'499','10696','Allure','2015','1463948417','1534979183','1'
'500','10696','Allure','2014','1463948417','1534979180','1'
'501','10696','Active','2014','1463948417','1534979181','1'
'502','10696','Allure','2012','1463948417','1534979182','1'
'503','10699','Style','2015','1463948417','1534979196','1'
'504','10699','Allure','2015','1463948417','1534979195','1'
'505','10699','Access','2015','1463948417','1534979197','1'
